# Annual public holidays — MM-DD,Name
# Lines starting with # are ignored
01-01,New Year's Day
01-06,Epiphany
04-03,Good Friday
04-06,Easter Monday
05-01,Labour Day
05-14,Ascension Day
05-25,Whit Monday
06-04,Corpus Christi
10-03,German Unity Day
11-01,All Saints Day
12-25,Christmas Day
12-26,St. Stephen's Day
