# US Federal Holidays — annual unless full year given
01-01,New Year's Day
01-19,MLK Day
02-16,Presidents' Day
05-25,Memorial Day
06-19,Juneteenth
07-04,Independence Day
09-07,Labor Day
10-12,Columbus Day
11-11,Veterans Day
11-26,Thanksgiving Day
12-25,Christmas Day
# One-time company closure:
2026-11-27,Day after Thanksgiving (closure)
